Str. Nr.;Straße (Katalog);Absch-Nr.;Straßenkürzel;Klassifizierung;Straßentyp;Länge
4052;Danziger Baumgang;11247;;beschränkt öffentlicher Weg;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.117
148;Bühler Straße;403;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.15
750;Wilhelm-Varnholt-Allee;2868;B37;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.41600000000000004
1277;Goetheplatz;3963;B38;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.052000000000000005
148;Bühler Straße;404;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08
1362;Friedrichsring;4258;B38;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.073
155;Wikingerstraße;429;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.044
1369;Kaiserring;4262;B38;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.093
161;Frankenstraße;437;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.061
1369;Kaiserring;4583;B38;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.1
1222;Zellerfelder Weg;3776;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.023
129;Villinger Straße;348;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.203
960;Neckarauer Straße;3420;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.015
1217;Clausthaler Ring;3774;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.022
2468;Sandhofen;7418;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.084
960;Neckarauer Straße;3170;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.083
1157;Blankenburger Weg;3763;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.056
144;Gotenstraße;391;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.158
351;00B36;4970;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.547
1099;Viktoriastraße;3734;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.083
135;Auggener Straße;369;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.068
675;Ludwigshafener Straße;8439;;Gemeindestraße;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.488
1301;Hans-Sachs-Ring;11354;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.036000000000000004
1144;Frankenthaler Straße;5559;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.131
191;Am Unkenteich;533;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.062
300;Carolus-Vocke-Ring;11361;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.041
170;Schilfweg;512;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.121
960;Neckarauer Straße;2985;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.23800000000000002
1052;Bassermannstraße;3721;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17400000000000002
176;Baiersbronner Winkel;487;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.054
1059;Richard-Wagner-Straße;3383;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08600000000000001
164;Badenweilerstraße;459;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.033
1101;Gluckstraße;3388;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.112
183;Eislebener Weg;507;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.053
4126;Friedrich-Traumann-Straße;11714;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.04
162;Ihringer Straße;493;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.108
1096;Erzbergerstraße;3373;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17500000000000002
492;Therese-Blase-Straße;1497;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.066
4196;;11695;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.114
770;Traminerweg;2343;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.139
1030;Mönchwörthstraße;3430;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17400000000000002
960;Neckarauer Straße;10019;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.054
4064;;11297;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.128
1116;Friedrich-Böttger-Straße;3424;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17400000000000002
960;Neckarauer Straße;12960;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.0
1720;L1,L2;5115;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.109
1174;Windeckstraße;9142;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.061
1105;Weberstraße;3396;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.046
773;Karl-Ladenburg-Straße;2363;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.224
351;00B36;11480;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.122
4208;Aberlering;11744;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.032
781;Eugenie-Kaufmann-Straße;2367;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.147
371;Seckenheimer Landstraße;2261;L637;Landesstraße Orstdurchfahrt;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.255
4208;Aberlering;11740;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08
807;Anemonenweg;2488;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.251
1081;Fichtenweg;3325;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.074
1750;F6,G6;8500;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.064
1080;Atzelhofstraße;3324;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.093
793;Siegmund-Schuckert-Straße;2405;;Gemeindestraße;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.327
788;Regenbogen;2462;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.219
986;An der Radrennbahn;11733;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.083
704;Auf dem Sand;2386;;Gemeindestraße;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.04
807;Anemonenweg;2459;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.378
986;An der Radrennbahn;11736;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.05
1601;N3,N4;4877;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.122
986;An der Radrennbahn;11735;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.045
619;Mannheimer Straße;2337;;Gemeindestraße;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.132
741;Habichtstraße;2225;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.07
4126;Friedrich-Traumann-Straße;11720;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.043000000000000003
704;Auf dem Sand;2385;;Gemeindestraße;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.077
696;Johannes-Hoffart-Straße;2164;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.14200000000000002
4208;Aberlering;11738;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.036000000000000004
627;Feudenheimer Straße;1892;L538;Landesstraße Orstdurchfahrt;II Hauptverkehrs-, Industrie- & Gewerbe-, Hauptdurchgangsstraßen;0.036000000000000004
1147;Am Schulgarten;3526;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.149
